sku,name,sale_price,brand,other_names,description,sold_in_quantity,positions,applications,replaces,hazmat,install_time,may_be_required,image_1_url,image_2_url,image_3_url,image_4_url,image_5_url,image_6_url,image_7_url,image_8_url,image_9_url,image_10_url,image_11_url,image_12_url,image_13_url,image_14_url,image_15_url,image_16_url,image_17_url,image_18_url,image_19_url,image_20_url,image_21_url,image_22_url,alto,largo,ancho,volumen,peso,listo,otros_nombres,descripcion,sat_id,category,alias,nombre,handle
PT9361622003,Door Edge Guards - Toyota (PT936-16220-03),89.50,Toyota,Cor Crs Deg 3R3 Red,Help prevent door edge dings and chipped paint with this protective finishing touchThermoplastic-coated stainless steel is precisely color matched to the exterior paint Compression-fitted to door edge contours Blend seamlessly to complement exterior styling.,null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/95c709ac20ba2cbcf5ac46c57d2c4c6b.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,100,5,500,0.5,null,Protector de borde Corolla 3R3 Rojo,Ayuda a prevenir golpes y pintura descascarada en los bordes de las puertas con este toque protector. Acero inoxidable recubierto con termoplástico combinado con el acabado exterior. Ajuste por compresión a los contornos de los bordes de las puertas. Complementa perfectamente el estilo exterior del vehículo.,null,null,null,"Protectores de bordes de puerta, rojo 3R3",door-edge-guards-toyota-pt936-16220-03-pt9361622003
PT9364219000,"Door Edge Guards, Super White - Toyota (PT936-42190-00)",92.86,Toyota,Door Edge Guard,"Help preVent door edge dings and chipped paint with this protective Finishing touch.\
 Thermoplastic-coated stainless steel is precisely Color matched to the exterior paint\
 Compression-fitted to door edge contours\
 Blend seamlessly to complement exterior styling\
\
          \
          Fits Rav4 , RAV4 PrimeColor: Super White 2 Color Code: 0040 Number of Pieces: 4 Position: Door \
          \
          Help prevent door edge dings and chipped paint with this protective finishing touchThermoplastic-coated stainless steel is precisely color matched to the exterior paintCompression-fitted to door edge contoursBlend seamlessly to complement exterior styling.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/ee8d3312529508106f34da9fe8314799.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,100,5,500,0.5,null,Protector de borde de puerta,Ayuda a prevenir golpes y pintura descascarada en los bordes de las puertas con este toque protector. El acero inoxidable recubierto con termoplástico está perfectamente combinado con el color de la pintura exterior. Ajuste por compresión a los contornos de las puertas. Complementa el estilo exterior. Incluye 4 piezas para las puertas del conductor y pasajero.,null,null,null,"Protectores de bordes de puerta, blanco Super White",door-edge-guards-super-white-toyota-pt936-42190-00-pt9364219000
PT9364219100,"Door Edge Guards, Super White - Toyota (PT936-42191-00)",92.86,Toyota,Door Edge Guard,Help prevent door edge dings and chipped paint with this protective finishing touchThermoplastic-coated stainless steel is precisely color-matched to the exterior paintDoor edge guards have been optimized for more protection Blend seamlessly to complement the exterior styling.,null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/75d5b0c2c7928413cfac147788390959.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,100,5,500,0.5,null,Protector de borde de puerta,Ayuda a prevenir golpes y pintura descascarada en los bordes de las puertas con este toque protector. El acero inoxidable recubierto con termoplástico está perfectamente combinado con el color de la pintura exterior. Los protectores de bordes de puerta han sido optimizados para mayor protección. Complementan perfectamente el estilo exterior.,null,null,null,"Protectores de bordes de puerta, blanco Super White",door-edge-guards-super-white-toyota-pt936-42191-00-pt9364219100
PT9361622010,Door Edge Guards - Toyota (PT936-16220-10),92.86,Toyota,Cor Crs Deg 089 Wd C,Help prevent door edge dings and chipped paint with this protective finishing touchThermoplastic-coated stainless steel is precisely color matched to the exterior paint Compression-fitted to door edge contours Blend seamlessly to complement exterior styling.,null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/8369fb7351bed10b7f2f2aa1f07c2fc4.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,100,5,500,0.5,null,Protector de borde Corolla 089 Blanco,Ayuda a prevenir golpes y pintura descascarada en los bordes de las puertas con este toque protector. El acero inoxidable recubierto con termoplástico está perfectamente combinado con el color de la pintura exterior. Ajuste por compresión a los contornos de los bordes de las puertas. Se integra perfectamente con el estilo exterior.,null,null,null,"Protectores de bordes de puerta, blanco Wind Chill",door-edge-guards-toyota-pt936-16220-10-pt9361622010
PT9361622011,Door Edge Guards - Toyota (PT936-16220-11),92.86,Toyota,Cor Crs Deg 1K3 Cele,Help prevent door edge dings and chipped paint with this protective finishing touchThermoplastic-coated stainless steel is precisely color matched to the exterior paint Compression-fitted to door edge contours Blend seamlessly to complement exterior styling.,null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/dd204957da7c79cf8b8c7b70474faf0c.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,100,5,500,0.5,null,Protector de borde Corolla 1K3 Gris,Ayuda a prevenir golpes y pintura descascarada en los bordes de las puertas con este toque protector. El acero inoxidable recubierto con termoplástico está perfectamente combinado con el color de la pintura exterior. Ajuste por compresión a los contornos de los bordes de las puertas. Se integra perfectamente con el estilo exterior.,null,null,null,"Protectores de bordes de puerta, gris Celestite",door-edge-guards-toyota-pt936-16220-11-pt9361622011
PT9361622020,Door Edge Guards - Toyota (PT936-16220-20),92.86,Toyota,Cor Crs Deg D10 Silver,Help prevent door edge dings and chipped paint with this protective finishing touchThermoplastic-coated stainless steel is precisely color matched to the exterior paint Compression-fitted to door edge contours Blend seamlessly to complement exterior styling.,null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/45ca6405b09ef3900589996f64674bf9.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,100,5,500,0.5,null,Protector de borde Corolla D10 Plata,Ayuda a prevenir golpes y pintura descascarada en los bordes de las puertas con este toque protector. El acero inoxidable recubierto con termoplástico está perfectamente combinado con el color de la pintura exterior. Ajuste por compresión a los contornos de los bordes de las puertas. Se integra perfectamente con el estilo exterior.,null,null,null,"Protectores de bordes de puerta, plata D10",door-edge-guards-toyota-pt936-16220-20-pt9361622020
PT9361622021,Door Edge Guards - Toyota (PT936-16220-21),92.86,Toyota,Cor Crs Deg D11 Blac,Help prevent door edge dings and chipped paint with this protective finishing touchThermoplastic-coated stainless steel is precisely color matched to the exterior paint Compression-fitted to door edge contours Blend seamlessly to complement exterior styling.,null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/64b95d3b1da2cd49cce8ef5c1e83c13d.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,100,5,500,0.5,null,Protector de borde Corolla D11 Negro,Ayuda a prevenir golpes y pintura descascarada en los bordes de las puertas con este toque protector. El acero inoxidable recubierto con termoplástico está perfectamente combinado con el color de la pintura exterior. Ajuste por compresión a los contornos de los bordes de las puertas. Se integra perfectamente con el estilo exterior.,null,null,null,"Protectores de bordes de puerta, negro D11",door-edge-guards-toyota-pt936-16220-21-pt9361622021
PT9363524101,Door Edge Guards - Toyota (PT936-35241-01),92.86,Toyota,Deg Taco 1L7 D Cab,Help prevent door edge dings and chipped paint with this protective finishing touch. Thermoplastic-coated stainless steel is precisely matched to the exterior finish Compression-fitted to door edge contours Blend seamlessly to complement exterior styling .,null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/ee18691299867ad5da063be84bfdf4bd.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,100,5,500,0.5,null,Deg Tacoma 1L7 D Cab,Ayuda a prevenir golpes y pintura descascarada en los bordes de las puertas con este toque protector. El acero inoxidable recubierto con termoplástico está perfectamente combinado con el color de la pintura exterior. Ajuste por compresión a los contornos de las puertas. Complementa el estilo exterior.,null,null,null,"Protectores de bordes de puerta, color 1L7",door-edge-guards-toyota-pt936-35241-01-pt9363524101
PT9363524102,Door Edge Guards - Toyota (PT936-35241-02),92.86,Toyota,Deg Taco 202 Black D,Help prevent door edge dings and chipped paint with this protective finishing touch. Thermoplastic-coated stainless steel is precisely matched to the exterior finish Compression-fitted to door edge contours Blend seamlessly to complement exterior styling .,null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/348242044d44beaa062afc8e11653d4b.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,100,5,500,0.5,null,Deg Tacoma 202 Black,Ayuda a prevenir golpes y pintura descascarada en los bordes de las puertas con este toque protector. El acero inoxidable recubierto con termoplástico está perfectamente combinado con el color de la pintura exterior. Ajuste por compresión a los contornos de las puertas. Complementa el estilo exterior.,null,null,null,"Protectores de bordes de puerta, color 202",door-edge-guards-toyota-pt936-35241-02-pt9363524102
PT9363524103,Door Edge Guards - Toyota (PT936-35241-03),92.86,Toyota,Deg Taco 3U5 Red D C,Help prevent door edge dings and chipped paint with this protective finishing touch. Thermoplastic-coated stainless steel is precisely matched to the exterior finish Compression-fitted to door edge contours Blend seamlessly to complement exterior styling .,null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/38cc8c310111c58ccb00af9f7a372f39.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,100,5,500,0.5,null,Deg Tacoma 3U5 Red,Ayuda a prevenir golpes y pintura descascarada en los bordes de las puertas con este toque protector. El acero inoxidable recubierto con termoplástico está perfectamente combinado con el color de la pintura exterior. Ajuste por compresión a los contornos de las puertas. Complementa el estilo exterior.,null,null,null,"Protectores de bordes de puerta, rojo 3U5",door-edge-guards-toyota-pt936-35241-03-pt9363524103
PT9363524110,Door Edge Guards - Toyota (PT936-35241-10),92.86,Toyota,Deg Taco 040 White D,Help prevent door edge dings and chipped paint with this protective finishing touch. Thermoplastic-coated stainless steel is precisely matched to the exterior finish Compression-fitted to door edge contours Blend seamlessly to complement exterior styling .,null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/e6ce88e4a76149edf3c95d5cebd8bc2f.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,100,5,500,0.5,null,Deg Tacoma 040 White,Ayuda a prevenir golpes y pintura descascarada en los bordes de las puertas con este toque protector. El acero inoxidable recubierto con termoplástico está perfectamente combinado con el color de la pintura exterior. Ajuste por compresión a los contornos de las puertas. Complementa el estilo exterior.,null,null,null,"Protectores de bordes de puerta, blanco 040",door-edge-guards-toyota-pt936-35241-10-pt9363524110
PT9363524111,Door Edge Guards - Toyota (PT936-35241-11),92.86,Toyota,Deg Taco 1J9 Silver,Help prevent door edge dings and chipped paint with this protective finishing touch. Thermoplastic-coated stainless steel is precisely matched to the exterior finish Compression-fitted to door edge contours Blend seamlessly to complement exterior styling .,null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/402334b99fd928a876b221b24b864f60.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,100,5,500,0.5,null,Deg Tacoma 1J9 Silver,Ayuda a prevenir golpes y pintura descascarada en los bordes de las puertas con este toque protector. El acero inoxidable recubierto con termoplástico está perfectamente combinado con el color de la pintura exterior. Ajuste por compresión a los contornos de las puertas. Complementa el estilo exterior.,null,null,null,"Protectores de bordes de puerta, plata 1J9",door-edge-guards-toyota-pt936-35241-11-pt9363524111
PT9364723008,Door Edge Guards - Toyota (PT936-47230-08),92.86,Toyota,Prius Deg 8Q4 Dark Blu,Help prevent door edge dings and chipped paint with this protective finishing touch.Thermoplastic-coated stainless steel is precisely color matched to the exterior paintCompression-fitted to door edge contoursBlend seamlessly to complement exterior styling.,null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/e903a33d5f7d0ab1e3398d47a38c7d0f.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,100,5,500,0.5,null,Prius Dark Blue,Ayuda a prevenir golpes y pintura descascarada en los bordes de las puertas con este toque protector. El acero inoxidable recubierto con termoplástico está perfectamente combinado con el color de la pintura exterior. Ajuste por compresión a los contornos de las puertas. Complementa el estilo exterior.,null,null,null,"Protectores de bordes de puerta, azul oscuro 8Q4",door-edge-guards-toyota-pt936-47230-08-pt9364723008
PT9364820110,Door Edge Guards - Wind Chill Pearl - Toyota (PT936-48201-10),92.86,Toyota,Handler Deg 089 Wd Ch P,Help prevent door edge dings and chipped paint with this protective finishing touchThermoplastic-coated stainless steel is precisely matched to the exterior paint finishCompression-fitted to door edge contoursBlend seamlessly to complement exterior styling.,null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/c8f6b7d93e032f94594bef2a6bb1f430.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,100,5,500,0.5,null,Handler protector de borde 089 blanco Wind Chill,Ayuda a prevenir abolladuras y pintura desconchada en los bordes de las puertas con este toque de acabado protector. El acero inoxidable recubierto con termoplástico coincide con precisión con el acabado de pintura exterior. Se ajusta a los contornos de los bordes de las puertas y se integra perfectamente con el estilo exterior.,null,null,null,"Protectores de bordes de puerta, color Wind Chill Pearl",door-edge-guards-wind-chill-pearl-toyota-pt936-48201-10-pt9364820110
PT9384213012,Door Molding - Toyota (PT938-42130-12),null,Toyota,"Molding, Body Side, Galactic Aqua Mica","The two-tone design features vehicle exterior color with Piano Black accent. Help protect against careless door swings, runaway shopping carts and other parking lot mishaps.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/a93247439c1bccc3f690bc20252332c5.webp,https://s3.amazonaws.com/rp-part-images/assets/27f9ba18106e78fd248cadc2e8ae2cdc.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,120,4,960,1,null,"Moldura lateral, Galactic Aqua Mica","El diseño bicolor incluye el color exterior del vehículo con un acento en Piano Black. Ayuda a proteger contra golpes descuidados de puertas, carritos de compras descontrolados y otros percances en estacionamientos.",null,null,null,"Moldura de puerta, azul mica Galactic Aqua",door-molding-toyota-pt938-42130-12-pt9384213012
PT9384213013,Door Molding - Toyota (PT938-42130-13),null,Toyota,"Molding, Body Side, Ruby Flare Pearl","Color-matched body side moldings help protect against careless door swings, runaway shopping carts and other parking-lot mishaps while adding a little extra exterior style.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/44c3d252d419abf5b97622999a542a3c.webp,https://s3.amazonaws.com/rp-part-images/assets/24427b9b98ae550717636a526c411c6d.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,120,4,960,1,null,"Moldura lateral, Ruby Flare Pearl","Las molduras laterales combinadas en color ayudan a proteger contra golpes descuidados de puertas, carritos de compras descontrolados y otros percances en estacionamientos, mientras añaden un toque extra de estilo al exterior.",null,null,null,"Moldura de puerta, rojo perla Ruby Flare",door-molding-toyota-pt938-42130-13-pt9384213013
PT9384213021,Door Molding - Toyota (PT938-42130-21),null,Toyota,"Molding, Body Side, Silver Sky Metallic","Helps provide exterior door protection from scratches, dents and chippingColor-matched to the factory paint of the vehicleSet of four.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/d7cacd898268ef6688271acbe32dde52.webp,https://s3.amazonaws.com/rp-part-images/assets/94c19e8aebbb50f5448c78d0f3940c40.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,120,4,960,1,null,"Moldura lateral, Silver Sky Metallic","Ayuda a proteger las puertas exteriores contra rayones, abolladuras y desconchaduras de pintura. Combinadas con el color de fábrica del vehículo. Juego de cuatro piezas.",null,null,null,"Moldura de puerta, plata Silver Sky",door-molding-toyota-pt938-42130-21-pt9384213021
PT9080C23020,Floor Mats - All Weather - Black - Toyota (PT908-0C230-20),172.30,Toyota,Seq Awfl Black,"Engineered to precisely fit your vehicle, all-weather floor liners are made from durable, flexible, weather-resistant material that cleans easily. Precise injection molding uses Toyotas original vehicle design data for a perfect fit. Liners feature ribbed channels to better hold moisture and a stylish vehicle logo. Skid-resistant backing and driver-side quarter-turn fasteners help keep the liners in place.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/d60a377e9bb686379b9180bfc50c6292.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,100,70,14000,3,null,Seq Awfl negro,null,null,null,null,"Tapetes de piso, todo clima, negros Sequoia",floor-mats-all-weather-black-toyota-pt908-0c230-20-pt9080c23020
PT41347230,Door Sill Protector - Toyota (PT413-47230),162.23,Toyota,Prs Ds Enh Stnstl,"Door sill protectors help guard against interior door scuffs, scrapes and scratches.Premium polished finish adds durability and styleFeatures a Prius logo for a customized look.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/372fd6fc09080cfaf28db27715583d5a.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,70,2,700,0.3,null,Prius protector de umbral en acero inoxidable,"Los protectores de umbral de puerta ayudan a proteger contra rayones y desgaste. Su acabado pulido premium añade durabilidad y estilo, mientras que el logotipo de Prius añade un toque personalizado.",null,null,null,Protector de umbral de puerta,door-sill-protector-toyota-pt413-47230-pt41347230
PT74742130,"Door Sill Protectors, Set Of Four - Toyota (PT747-42130)",29.51,Toyota,Door Sill Plate,"The easy-to-install door sill appliqu? helps keep your RAV4 looking like new. \
 Helps preVent door sill scuffs and scratches \
 Features a stylish weave pattern \
\
          \
          Fits Rav4 Color: Black Logo Type: Raised Material: PVC Film Number of Pieces: 4 \
          \
          The vehicle door sill appliqué adds a sporty touch that complements the vehicle interior appearance. With its carbon fiber-style pattern, it also helps to protect the vehicle's interior from everyday scuffs and scratches..",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/b6363647fa0aac4106091c894d92ab45.webp,https://s3.amazonaws.com/rp-part-images/assets/b47c07b6fbc96745dc68acd0386d600c.webp,https://s3.amazonaws.com/rp-part-images/assets/70c248f2538a83eea566e399436e2c64.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,70,2,700,0.3,null,Placa de umbral de puerta,"La aplicación protectora para el umbral de la puerta agrega un toque deportivo que complementa el diseño interior del RAV4. Con su patrón de fibra de carbono, también protege contra rayones diarios.",null,null,null,"Protectores de umbral de puerta, juego de 4",door-sill-protectors-set-of-four-toyota-pt747-42130-pt74742130
PU06042141P1,Door Sill Enhancements - Toyota (PU060-42141-P1),121.13,Toyota,Door Sill Plate,"Helps preVent door sill scuffs and scratches with these easy to install door sill protectors. ?Featuring a brushed aluminum overlay with polished accents that are both stylish and protective.?\
          \
          Fits Rav4 Logo: With Logo Material: Stainless Steel And Plastic Number of Pieces: 4 Position: Front and Rear \
          \
          Featuring a brushed aluminum overlay with polished accentsHelps protect door sills from unsightly scuffs and scratches during vehicle entry and exitSimple installation includes self-adhesive backingSet of four.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/40b28f39d06278572636f3a3495cd191.webp,https://s3.amazonaws.com/rp-part-images/assets/4b74659c43e305f87d03fb54b659a02e.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,80,8,640,0.7,null,Door Sill Plate,"Ayuda a prevenir raspaduras y arañazos en los umbrales de las puertas con estos protectores fáciles de instalar.\
 Incluyen un diseño cepillado de aluminio con detalles pulidos, tanto estilizados como protectores.\
 El juego incluye cuatro piezas autoadhesivas.",null,null,null,Mejoras de umbral de puerta,door-sill-enhancements-toyota-pu060-42141-p1-pu06042141p1
PK38242K01,Door Sill Protectors - Toyota (PK382-42K01),111.88,Toyota,Door Sill Strip,"Door sill protectors help guard against Interior door scuffs, scrapes and scratches. Etched aluminum Finish adds durability and style. Features a RAV4 Logo for a customized look. Includes Drivers and passenger sides - 4 pieces \
          \
          Fits Rav4 , RAV4 PrimeMaterial: Stainless Steel And Plastic Number of Pieces: 4 Position: Driver Side and Passenger Side \
          \
          Features a RAV4 logo for a customized look.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/a5fa2a6f0d64706e970d1830a1b46490.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,50,10,1000,0.8,null,Tira protectora de umbral de puerta,Protectores de umbral de puerta; protegen contra rasguños y desgaste. Acabado en aluminio con logo RAV4 para un estilo personalizado.. Incluye 4 piezas: conductor y pasajero.,null,null,null,Protectores de umbral de puerta,door-sill-protectors-toyota-pk382-42k01-pk38242k01
PT41316220,Door Sill Protectors - Toyota (PT413-16220),117.47,Toyota,Cor Crs Dspt Stn Stl,"Door sill protectors help guard against interior door scuffs, scrapes and scratchesPolished finish adds durability and styleFeatures a Corolla Cross logo for a customized look Added protection when entering and exiting your vehicle.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/05ff80ca316ac6886d8cd4313e865d61.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,70,2,700,0.3,null,Protectores de umbral Corolla Cross acero inoxidable,"Los protectores de umbral de puerta ofrecen protección adicional al entrar o salir del vehículo. Su acabado pulido añade estilo y durabilidad, mientras que el logotipo de Corolla Cross brinda un toque personalizado.",null,null,null,Protectores de umbral de puerta,door-sill-protectors-toyota-pt413-16220-pt41316220
PT7470821002,Door Sill Protectors - Toyota (PT747-08210-02),55.94,Toyota,Sien Dappl 2P,"Door sill protectors help guard against interior door scuffs, scrapes and scratches.Made of durable, skid-resistant materialsFeatures a Sienna logo for a customized look.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/46a22cd2e318044edeafe5426a30817f.webp,https://s3.amazonaws.com/rp-part-images/assets/310e131631de4edda8f19bef9a97ee33.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,70,2,700,0.3,null,Umbral Sienna (2 piezas),"Los protectores de umbral de puerta ayudan a evitar rayones y desgaste en el interior. Hechos de materiales duraderos y antideslizantes, presentan un logotipo de Sienna para un estilo personalizado.",null,null,null,Protectores de umbral de puerta,door-sill-protectors-toyota-pt747-08210-02-pt7470821002
PT94448200,"Door Sills, Illuminated - Toyota (PT944-48200)",201.38,Toyota,Door Sill Strip,Highlander LED logo illuminates icy white when the front doors are open to help with entry into your HighlanderDurable corrosion-resistant finish features brushed polished accentsThis smart and stylish addition helps prevent door sill scuffs and scrapes.,null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/97263c843164e1a353b634c9e28e0b92.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,80,8,640,0.7,null,Door Sill Strip,"El logotipo LED de Highlander se ilumina en blanco helado cuando se abren las puertas delanteras, ayudando a entrar en tu Highlander. El acabado duradero y resistente a la corrosión cuenta con detalles cepillados y pulidos. Este complemento inteligente y elegante ayuda a prevenir raspaduras y arañazos en los umbrales de las puertas.",null,null,null,Umbrales de puerta iluminados,door-sills-illuminated-toyota-pt944-48200-pt94448200
PK38942K01TP,"Splash Guards, Adventure - Toyota (PK389-42K01-TP)",83.91,Toyota,Mud Guard Set,Help protect the paint finish from road debris and the damage it causesDesigned to integrate with exterior stylingSet includes four mudguards.,null,"Front, Rear",null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/03fe0ebae6852a565a8aeba0dd4b75be.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,30,20,3000,0.6,null,Juego de salpicaderas,Protege la pintura contra desechos del camino. Incluye 4 guardafangos.. Guardafangos completos.,null,null,null,"Guardabarros, versión Adventure",splash-guards-adventure-toyota-pk389-42k01-tp-pk38942k01tp
PT9084221002,Cargo Tray - Toyota (PT908-42210-02),100.69,Toyota,Trunk Mat,"The tough, flexible cargo liner allows you to carry a wide variety of items and helps protect your cargo area carpeting. \
 Made of durable, easy-to-Clean Material, embossed with a RAV4 Logo \
 Skid-resistant surface helps secure items in place \
 Molded perimeter lip helps contain spills \
 Advanced design helps protect the cargo area and the rear seatback \
\
          \
          Fits Rav4 Color: Black Logo: Rav4  Cargo and load capacity are limited by weight and distribution. Always properly secure cargo and cargo area.\
\
          \
          The tough, flexible cargo liner allows you to carry a wide variety of items and helps protect your cargo area carpetingMade of durable, easy-to-clean material, embossed with a RAV4 logoSkid-resistant surface helps secure items in placeMolded perimeter lip helps contain spillsAdvanced design helps protect the cargo area and the rear seatback.",null,null,null,"PT908-42195-02, PT908-42196-02",null,null,null,https://s3.amazonaws.com/rp-part-images/assets/ac698d1bedb59d4deb1c221e2367b465.gif,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,100,80,16000,3.5,null,Tapete de cajuela,El revestimiento de carga resistente protege el área de carga y la parte trasera de los asientos. Incluye un diseño avanzado que contiene derrames y asegura los objetos en su lugar.,null,null,null,Bandeja de carga,cargo-tray-toyota-pt908-42210-02-pt9084221002
PT9323422102,"Exhaust Tip, Black Chrome - Toyota (PT932-34221-02)",79.43,Toyota,Tun Etip Black Chrome,"Finish off the Tundra’s bold style with these shiny exhaust tipsConstructed of polished, corrosion-resistant single-walled 304 stainless steelEasy bolt-on installation. no cutting, drilling, or welding.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/e7f0d5a41e1a9db0fec62d5931d09d83.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,15,10,1500,2,null,Tundra punta de escape cromo negro,"Completa el estilo audaz de la Tundra con estas puntas de escape brillantes. Construidas de acero inoxidable 304 de una sola pared, pulido y resistente a la corrosión. Instalación fácil con pernos, sin necesidad de cortes, perforaciones o soldaduras.",null,null,null,"Punta de escape, cromo negro",exhaust-tip-black-chrome-toyota-pt932-34221-02-pt9323422102
PT93235162,"Exhaust Tip, Chrome - Toyota (PT932-35162)",61.53,Toyota,Exhaust Tail Pipe Tip,"Finish off the Tacoma 's bold style with this shiny exhaust tip.\
 Constructed of polished, corrosion-resistant single-walled 304 stainless steel\
 Easy bolt-on installation; no cutting, drilling, or welding\
\
          \
          Fits Tacoma  CONSTRUCTION: Single Wall Finish: Chrome Material: Stainless Steel \
          \
          Constructed of polished, corrosion-resistant chromed 304 stainless steelFeatures embossed Toyota logoEasy, clamp on installation.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/2d644fe822d51bd845d1e498321e4c9e.webp,https://s3.amazonaws.com/rp-part-images/assets/b65338c1ddae822c4da9f95bd80159a4.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,15,10,1500,2,null,Punta de tubo de escape,"Complementa el estilo audaz del Tacoma con esta punta de escape brillante. Construida de acero inoxidable 304 de una sola pared, cromado y resistente a la corrosión. Instalación fácil con abrazaderas, sin necesidad de cortes, perforaciones o soldaduras.",null,null,null,"Punta de escape, cromo",exhaust-tip-chrome-toyota-pt932-35162-pt93235162
